time,s0_temp_c,s0_humidity_pct,s0_pressure_hpa,s0_gas_ohm,s0_status,s0_variant,s1_temp_c,s1_humidity_pct,s1_pressure_hpa,s1_gas_ohm,s1_status,s1_variant,s2_temp_c,s2_humidity_pct,s2_pressure_hpa,s2_gas_ohm,s2_status,s2_variant,s3_temp_c,s3_humidity_pct,s3_pressure_hpa,s3_gas_ohm,s3_status,s3_variant,s4_temp_c,s4_humidity_pct,s4_pressure_hpa,s4_gas_ohm,s4_status,s4_variant,s5_temp_c,s5_humidity_pct,s5_pressure_hpa,s5_gas_ohm,s5_status,s5_variant,s6_temp_c,s6_humidity_pct,s6_pressure_hpa,s6_gas_ohm,s6_status,s6_variant,s7_temp_c,s7_humidity_pct,s7_pressure_hpa,s7_gas_ohm,s7_status,s7_variant
2026-06-17 12:46:52,29.79,42.40,1015.28,76785,0xa0,2,29.97,41.49,1015.51,95114,0xa0,2,30.13,40.88,1015.07,64679,0xa0,2,29.76,42.39,1015.40,41775,0xa0,2,30.16,40.33,1015.40,87581,0xa0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:46:53,29.60,42.55,1015.25,5685,0xb0,2,29.77,41.65,1015.48,5685,0xb0,2,29.95,41.04,1015.04,5685,0xb0,2,29.57,42.56,1015.39,5685,0xb0,2,29.98,40.46,1015.37,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:46:55,29.64,42.56,1015.35,5685,0xb0,2,29.82,41.67,1015.59,5685,0xb0,2,29.99,41.07,1015.14,5685,0xb0,2,29.61,42.59,1015.50,5685,0xb0,2,30.01,40.49,1015.45,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:46:56,29.64,42.58,1015.35,5685,0xb0,2,29.82,41.68,1015.58,5685,0xb0,2,30.00,41.06,1015.16,5685,0xb0,2,29.61,42.59,1015.52,5685,0xb0,2,30.02,40.47,1015.46,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:46:57,29.62,42.61,1015.34,5685,0xb0,2,29.80,41.72,1015.58,5685,0xb0,2,29.98,41.10,1015.15,5685,0xb0,2,29.58,42.62,1015.47,5685,0xb0,2,30.00,40.53,1015.47,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:46:58,29.61,42.65,1015.32,5685,0xb0,2,29.79,41.75,1015.57,5685,0xb0,2,29.97,41.12,1015.16,5685,0xb0,2,29.58,42.66,1015.50,5685,0xb0,2,29.99,40.55,1015.47,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:46:59,29.61,42.66,1015.33,5685,0xb0,2,29.79,41.76,1015.57,5685,0xb0,2,29.97,41.14,1015.14,5685,0xb0,2,29.58,42.69,1015.49,5685,0xb0,2,29.99,40.56,1015.48,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:00,29.60,42.67,1015.31,5685,0xb0,2,29.78,41.77,1015.57,5685,0xb0,2,29.96,41.14,1015.13,5685,0xb0,2,29.58,42.72,1015.51,5685,0xb0,2,29.98,40.60,1015.48,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:02,29.58,42.70,1015.31,5685,0xb0,2,29.76,41.80,1015.56,5685,0xb0,2,29.95,41.19,1015.15,5685,0xb0,2,29.55,42.74,1015.50,5685,0xb0,2,29.95,40.64,1015.45,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:03,29.59,42.73,1015.34,5685,0xb0,2,29.76,41.83,1015.56,5685,0xb0,2,29.93,41.20,1015.13,5685,0xb0,2,29.55,42.76,1015.50,5685,0xb0,2,29.95,40.68,1015.45,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:04,29.57,42.76,1015.32,5685,0xb0,2,29.75,41.85,1015.55,5685,0xb0,2,29.93,41.22,1015.12,5685,0xb0,2,29.52,42.80,1015.50,5685,0xb0,2,29.92,40.68,1015.41,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:05,29.54,42.78,1015.29,5685,0xb0,2,29.74,41.85,1015.56,5685,0xb0,2,29.92,41.23,1015.13,5685,0xb0,2,29.50,42.83,1015.48,5685,0xb0,2,29.92,40.71,1015.43,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:06,29.50,42.85,1015.21,5685,0xb0,2,29.72,41.89,1015.54,5685,0xb0,2,29.91,41.28,1015.12,5685,0xb0,2,29.49,42.86,1015.47,5685,0xb0,2,29.90,40.72,1015.44,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:07,29.47,42.88,1015.19,5685,0xb0,2,29.70,41.93,1015.54,5685,0xb0,2,29.89,41.30,1015.13,5685,0xb0,2,29.46,42.90,1015.48,5685,0xb0,2,29.89,40.75,1015.47,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:09,29.47,42.88,1015.22,5734,0xb0,2,29.69,41.94,1015.53,5685,0xb0,2,29.88,41.33,1015.12,5685,0xb0,2,29.46,42.92,1015.48,5685,0xb0,2,29.87,40.78,1015.41,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:10,29.48,42.88,1015.22,5889,0xb0,2,29.68,41.95,1015.50,5685,0xb0,2,29.89,41.35,1015.16,5685,0xb0,2,29.46,42.94,1015.49,5685,0xb0,2,29.88,40.80,1015.44,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:11,29.47,42.89,1015.23,5697,0xb0,2,29.65,41.98,1015.49,5685,0xb0,2,29.86,41.38,1015.13,5685,0xb0,2,29.45,42.95,1015.48,5685,0xb0,2,29.87,40.83,1015.46,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:12,29.46,42.91,1015.21,5975,0xb0,2,29.64,41.99,1015.50,5694,0xb0,2,29.86,41.37,1015.13,5685,0xb0,2,29.45,42.96,1015.50,5685,0xb0,2,29.85,40.83,1015.45,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:13,29.45,42.94,1015.23,5899,0xb0,2,29.63,42.03,1015.50,5728,0xb0,2,29.84,41.44,1015.14,5685,0xb0,2,29.44,43.00,1015.51,5685,0xb0,2,29.84,40.85,1015.46,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:14,29.46,42.93,1015.23,5955,0xb0,2,29.61,42.06,1015.46,5922,0xb0,2,29.82,41.43,1015.13,5685,0xb0,2,29.45,43.00,1015.50,5685,0xb0,2,29.83,40.88,1015.46,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:15,29.45,42.93,1015.24,6005,0xb0,2,29.60,42.07,1015.49,5685,0xb0,2,29.81,41.46,1015.14,5685,0xb0,2,29.44,43.01,1015.53,5685,0xb0,2,29.82,40.91,1015.44,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:17,29.42,42.97,1015.25,6032,0xb0,2,29.58,42.12,1015.50,5951,0xb0,2,29.80,41.52,1015.14,5685,0xb0,2,29.40,43.05,1015.47,5685,0xb0,2,29.80,40.93,1015.44,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:18,29.40,43.01,1015.23,6087,0xb0,2,29.57,42.15,1015.50,5700,0xb0,2,29.79,41.54,1015.16,5685,0xb0,2,29.39,43.10,1015.49,5685,0xb0,2,29.78,40.96,1015.41,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:19,29.39,43.06,1015.26,6168,0xb0,2,29.55,42.20,1015.46,6042,0xb0,2,29.77,41.57,1015.12,5685,0xb0,2,29.37,43.13,1015.47,5685,0xb0,2,29.74,41.00,1015.33,5697,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:20,29.38,43.09,1015.23,6218,0xb0,2,29.55,42.20,1015.45,5882,0xb0,2,29.77,41.55,1015.12,5685,0xb0,2,29.38,43.16,1015.51,5685,0xb0,2,29.73,41.05,1015.31,5740,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:21,29.37,43.08,1015.22,6270,0xb0,2,29.54,42.22,1015.45,5945,0xb0,2,29.77,41.57,1015.13,5685,0xb0,2,29.36,43.17,1015.49,5685,0xb0,2,29.72,41.04,1015.32,5873,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:22,29.37,43.12,1015.26,6333,0xb0,2,29.53,42.25,1015.44,6018,0xb0,2,29.75,41.59,1015.12,5685,0xb0,2,29.35,43.20,1015.47,5685,0xb0,2,29.71,41.07,1015.34,5685,0xb0,2,,,,,,,,,,,,,,,,,,
2026-06-17 12:47:24,29.36,43.14,1015.21,6378,0xb0,2,29.53,42.25,1015.45,6005,0xb0,2,29.72,41.63,1015.04,5685,0xb0,2,29.35,43.20,1015.48,5685,0xb0,2,29.71,41.10,1015.33,5978,0xb0,2,,,,,,,,,,,,,,,,,,
